soil_moisture,temperature,humidity,light,time_since_irrigation,irrigation_needed,moisture_drop_rate
36.76,29.7,79.4,15,-1281,0,-0.39
36.76,29.6,79.1,15,-1278,0,0.0
36.44,29.6,79.8,15,-1275,0,-0.1067
35.54,29.6,79.3,13,-1272,0,-0.3
36.08,29.5,79.5,14,-1269,0,0.18
34.23,29.4,79.8,15,-1266,0,-0.6167
36.44,29.4,80.1,14,-1263,0,0.7367
35.54,29.4,80.2,14,-1260,0,-0.3
35.59,29.4,79.9,15,-1257,0,0.0167
36.49,29.3,80.3,16,-1254,0,0.3
33.83,29.4,79.8,16,-1251,0,-0.8867
34.59,29.5,79.7,16,-1248,0,0.2533
34.64,29.5,80.3,15,-1245,0,0.0167
37.57,29.5,79.9,16,-1242,0,0.9767
34.95,29.6,79.9,21,-1239,0,-0.8733
36.04,29.7,79.3,15,-1236,0,0.3633
35.77,29.7,79.4,13,-1233,0,-0.09
34.32,29.7,79.7,15,-1230,0,-0.4833
34.59,29.8,79.5,16,-1227,0,0.09
35.54,29.8,79.6,14,-1224,0,0.3167
36.04,29.7,79.1,16,-1221,0,0.1667
36.22,29.8,79.4,16,-1218,0,0.06
35.5,29.6,79.7,16,-1215,0,-0.24
36.67,29.4,80.4,18,-1212,0,0.39
37.16,29.3,80.5,15,-1209,0,0.1633
37.93,29.3,80.4,16,-1206,0,0.2567
37.52,29.3,80.4,18,-1203,0,-0.1367
37.75,29.3,80.3,18,-1200,0,0.0767
34.23,29.3,80.3,18,-1197,0,-1.1733
38.2,29.3,80.3,16,-1194,0,1.3233
38.11,29.3,80.2,17,-1191,0,-0.03
36.62,29.4,79.8,18,-1188,0,-0.4967
38.15,29.4,79.8,15,-1185,0,0.51
38.2,29.3,79.8,16,-1182,0,0.0167
38.47,29.4,79.8,16,-1179,0,0.09
37.75,29.3,79.8,16,-1176,0,-0.24
38.42,29.4,79.6,16,-1173,0,0.2233
37.61,29.4,79.5,16,-1170,0,-0.27
40.0,29.4,79.4,16,-1167,0,0.7967
40.72,29.4,79.4,16,-1164,0,0.24
40.5,29.4,79.4,16,-1161,0,-0.0733
40.18,29.3,79.4,16,-1158,0,-0.1067
39.55,29.3,79.4,16,-1155,0,-0.21
39.41,29.3,79.3,16,-1152,0,-0.0467
52.88,29.3,79.1,33,-1149,0,4.49
14.41,30.0,75.3,27,-54,1,-0.0351
13.65,30.0,75.3,35,-51,1,-0.2533
13.6,30.0,75.3,22,-48,1,-0.0167
11.49,30.1,74.9,19,-45,1,-0.7033
10.77,30.3,74.1,30,-42,1,-0.24
10.77,30.3,74.3,31,-39,1,0.0
10.63,30.3,74.3,32,-36,1,-0.0467
9.28,30.3,74.1,32,-33,1,-0.45
11.53,30.3,74.2,109,-30,1,0.75
11.17,30.4,74.2,27,-27,1,-0.12
10.54,30.5,73.7,31,-24,1,-0.21
10.18,30.5,73.8,29,-21,1,-0.12
10.77,30.3,73.9,31,-18,1,0.1967
10.77,30.3,74.3,31,-15,1,0.0
9.82,30.3,74.6,23,-12,1,-0.3167
12.07,30.4,74.4,30,-9,1,0.75
15.77,30.5,73.8,30,-6,0,1.2333
13.33,30.3,74.0,33,-3,1,-0.8133
14.19,30.3,73.9,27,0,1,0.2867
16.89,30.3,74.7,29,3,0,0.9
19.28,30.3,74.5,30,6,0,0.7967
16.53,30.3,74.1,29,9,0,-0.9167
17.07,30.3,74.2,30,12,0,0.18
15.5,30.4,73.7,29,15,0,-0.5233
14.77,30.3,73.7,31,18,1,-0.2433
14.37,30.3,73.9,29,21,1,-0.1333
17.97,30.2,74.4,30,24,0,1.2
14.64,30.2,74.3,29,27,1,-1.11
14.41,30.2,74.4,26,30,1,-0.0767
15.41,30.2,74.4,30,33,0,0.3333
16.98,30.2,74.2,28,36,0,0.5233
17.66,30.2,74.2,29,39,0,0.2267
17.34,30.1,74.2,28,42,0,-0.1067
18.51,30.2,74.2,27,45,0,0.39
20.81,30.2,74.0,30,48,0,0.7667
20.59,30.2,74.1,29,51,0,-0.0733
21.85,30.1,74.3,26,54,0,0.42
23.06,30.1,74.5,27,57,0,0.4033
20.9,30.1,74.4,73,60,0,-0.72
20.23,30.2,74.4,29,63,0,-0.2233
26.58,30.3,73.5,29,66,0,2.1167
28.87,30.2,73.5,30,69,0,0.7633
30.5,30.1,74.1,29,72,0,0.5433
30.32,30.1,74.0,32,75,0,-0.06
31.17,30.2,73.7,29,78,0,0.2833
31.53,30.2,73.6,31,81,0,0.12
30.81,30.3,73.9,29,84,0,-0.24
30.09,30.3,73.8,28,87,0,-0.24
32.34,30.2,74.2,31,90,0,0.75
32.88,30.1,74.6,31,93,0,0.18
36.17,30.1,74.8,29,96,0,1.0967
37.43,30.2,74.6,30,99,0,0.42
38.15,30.2,74.6,27,102,0,0.24
38.56,30.2,74.7,26,105,0,0.1367
40.81,30.2,74.6,25,108,0,0.75
42.61,30.2,74.8,30,111,0,0.6
41.35,30.2,74.8,28,114,0,-0.42
41.89,30.2,74.9,31,117,0,0.18
43.29,29.9,76.1,25,120,0,0.4667
45.36,29.6,77.5,25,123,0,0.69
53.47,29.5,77.8,28,126,0,2.7033
48.2,29.8,76.8,28,129,0,-1.7567
48.2,29.9,76.4,27,132,0,0.0
49.23,30.0,75.3,23,135,0,0.3433
51.4,29.9,75.8,27,138,0,0.7233
60.72,30.1,74.9,28,141,0,3.1067
54.59,30.2,74.3,35,144,0,-2.0433
54.82,30.4,73.7,26,147,0,0.0767
54.23,29.9,75.3,29,150,0,-0.1967
57.12,30.1,75.0,26,153,0,0.9633
60.23,30.2,74.3,27,156,0,1.0367
59.5,30.2,74.4,16,159,0,-0.2433
59.32,30.1,74.8,25,162,0,-0.06
59.46,29.9,75.2,26,165,0,0.0467
60.63,30.1,74.5,27,168,0,0.39
60.99,30.1,73.9,27,171,0,0.12
64.5,30.0,74.5,26,174,0,1.17
64.5,30.2,73.3,27,177,0,0.0
63.6,30.3,72.6,27,180,0,-0.3
64.01,30.2,72.7,26,183,0,0.1367
64.41,30.3,71.9,27,186,0,0.1333
65.54,30.3,72.0,28,189,0,0.3767
65.54,30.3,71.7,26,192,0,0.0
65.95,30.1,73.0,26,195,0,0.1367
66.13,30.3,71.7,27,198,0,0.06
66.49,30.3,71.9,58,201,0,0.12
68.15,30.1,72.4,26,204,0,0.5533
67.39,30.1,72.3,27,207,0,-0.2533
68.15,29.9,73.3,27,210,0,0.2533
67.39,30.2,71.9,26,213,0,-0.2533
69.19,30.1,71.9,23,216,0,0.6
69.19,30.0,72.3,26,219,0,0.0
69.64,30.0,71.9,26,222,0,0.15
69.95,29.9,72.2,25,225,0,0.1033
69.55,29.9,72.5,27,228,0,-0.1333
69.19,30.0,72.2,24,231,0,-0.12
69.19,30.1,71.6,25,234,0,0.0
69.19,29.9,71.6,25,237,0,0.0
69.64,29.7,72.7,23,240,0,0.15
67.93,29.7,73.4,23,243,0,-0.57
68.02,29.6,73.0,23,246,0,0.03
69.19,29.5,74.0,26,249,0,0.39
70.99,29.4,74.8,27,252,0,0.6
69.19,29.4,75.5,27,255,0,-0.6
70.63,29.3,75.6,27,258,0,0.48
69.91,29.2,75.5,17,261,0,-0.24
71.35,29.2,75.2,26,264,0,0.48
69.82,29.2,75.2,26,267,0,-0.51
69.91,29.3,75.0,22,270,0,0.03
71.22,29.3,75.3,23,273,0,0.4367
70.09,29.3,75.4,25,276,0,-0.3767
69.19,29.2,75.7,25,279,0,-0.3
70.0,29.2,76.1,22,282,0,0.27
69.19,29.0,76.4,26,285,0,-0.27
70.32,28.8,76.8,21,288,0,0.3767
69.64,28.5,77.4,37,291,0,-0.2267
70.45,28.1,78.4,35,294,0,0.27
70.59,27.4,82.2,37,297,0,0.0467
71.31,27.3,80.2,35,300,0,0.24
71.35,27.1,82.8,32,303,0,0.0133
71.94,27.4,82.9,37,306,0,0.1967
72.12,27.7,82.1,32,309,0,0.06
71.22,27.9,80.6,36,312,0,-0.3
69.86,27.5,81.8,4095,315,0,-0.4533
69.19,27.4,82.1,4095,318,0,-0.2233
69.95,27.3,81.6,4095,321,0,0.2533
69.19,27.4,82.2,4095,324,0,-0.2533
70.09,27.0,81.2,4095,327,0,0.3
71.08,27.2,80.7,4095,330,0,0.33
70.63,27.4,79.8,4095,333,0,-0.15
71.17,27.3,78.7,4095,336,0,0.18
69.86,27.4,79.1,4095,339,0,-0.4367
70.68,27.5,79.4,4095,342,0,0.2733
69.82,27.2,81.0,4095,345,0,-0.2867
69.23,27.5,78.9,4095,348,0,-0.1967
69.19,26.7,82.0,4095,351,0,-0.0133
69.19,26.5,82.0,4095,354,0,0.0
69.46,26.4,83.3,4095,357,0,0.09
70.9,26.4,84.2,4095,360,0,0.48
69.23,26.2,84.0,4095,363,0,-0.5567
69.86,26.1,84.0,4095,366,0,0.21
69.95,26.3,83.8,4095,369,0,0.03
69.91,26.7,82.6,4095,372,0,-0.0133
73.6,26.6,82.8,4095,375,0,1.23
71.31,26.8,81.5,4095,378,0,-0.7633
71.08,26.7,82.4,4095,381,0,-0.0767
60.9,30.3,72.0,30,1369,0,-0.0103
60.36,30.3,72.0,25,1372,0,-0.18
57.7,30.4,72.0,20,1375,0,-0.8867
57.12,30.5,71.4,23,1378,0,-0.1933
57.07,30.7,70.9,25,1381,0,-0.0167
56.17,30.9,70.7,23,1384,0,-0.3
56.85,31.1,70.4,35,1387,0,0.2267
58.06,31.0,70.4,26,1390,0,0.4033
58.47,30.9,70.6,22,1393,0,0.1367
58.74,30.8,70.4,23,1396,0,0.09
57.97,30.8,70.4,23,1399,0,-0.2567
58.06,30.7,70.5,24,1402,0,0.03
57.48,30.8,70.4,23,1405,0,-0.1933
58.38,30.8,70.2,23,1408,0,0.3
57.43,30.8,70.3,23,1411,0,-0.3167
57.7,30.8,70.0,24,1414,0,0.09
58.15,30.8,69.5,22,1417,0,0.15
57.52,30.9,69.5,22,1420,0,-0.21
57.34,31.0,69.2,22,1423,0,-0.06
57.57,31.1,68.9,20,1426,0,0.0767
57.39,31.2,68.6,20,1429,0,-0.06
56.76,31.2,68.6,22,1432,0,-0.21
56.04,31.3,68.4,21,1435,0,-0.24
56.13,31.3,68.2,22,1438,0,0.03
56.17,31.4,68.0,21,1441,0,0.0133
55.99,31.5,67.7,22,1444,0,-0.06
55.95,31.6,67.6,22,1447,0,-0.0133
56.13,31.7,67.3,21,1450,0,0.06
56.89,31.6,67.4,22,1453,0,0.2533
56.89,31.7,67.3,22,1456,0,0.0
57.61,31.8,67.1,21,1459,0,0.24
58.2,31.8,66.8,21,1462,0,0.1967
57.43,31.8,66.8,22,1465,0,-0.2567
57.66,31.9,66.6,23,1468,0,0.0767
56.62,31.9,66.6,21,1471,0,-0.3467
57.57,32.0,66.3,22,1474,0,0.3167
58.6,32.1,66.2,21,1477,0,0.3433
57.3,32.2,66.0,21,1480,0,-0.4333
56.98,32.3,65.8,22,1483,0,-0.1067
57.84,32.3,65.7,22,1486,0,0.2867
57.61,32.4,65.5,22,1489,0,-0.0767
57.57,32.4,65.6,22,1492,0,-0.0133
57.25,32.4,65.6,23,1495,0,-0.1067
56.62,32.5,65.6,21,1498,0,-0.21
57.43,32.5,65.5,22,1501,0,0.27
57.97,32.5,65.3,22,1504,0,0.18
58.06,32.6,65.2,23,1507,0,0.03
57.21,32.6,65.3,22,1510,0,-0.2833
57.12,32.6,65.1,22,1513,0,-0.03
57.75,32.6,65.1,24,1516,0,0.21
57.7,32.5,65.1,24,1519,0,-0.0167
57.61,32.5,65.0,22,1522,0,-0.03
58.69,32.5,65.0,22,1525,0,0.36
59.28,32.5,64.9,22,1528,0,0.1967
59.05,32.5,64.9,24,1531,0,-0.0767
58.51,32.5,64.9,25,1534,0,-0.18
57.57,32.4,64.9,26,1537,0,-0.3133
57.97,32.4,64.9,25,1540,0,0.1333
56.31,32.3,65.0,26,1543,0,-0.5533
56.98,32.2,65.1,27,1546,0,0.2233
56.94,32.2,65.1,25,1549,0,-0.0133
56.17,32.1,65.4,26,1552,0,-0.2567
56.08,32.0,65.6,25,1555,0,-0.03
57.07,31.8,65.8,26,1558,0,0.33
56.62,31.7,66.1,26,1561,0,-0.15
56.89,31.6,66.4,25,1564,0,0.09
56.49,31.5,66.6,25,1567,0,-0.1333
56.98,31.4,67.0,25,1570,0,0.1633
56.17,31.3,67.3,26,1573,0,-0.27
56.13,31.3,67.6,26,1576,0,-0.0133
56.71,31.1,68.0,25,1579,0,0.1933
56.4,31.1,68.2,26,1582,0,-0.1033
55.99,31.0,68.5,26,1585,0,-0.1367
56.89,30.9,68.9,26,1588,0,0.3
56.04,30.8,69.2,25,1591,0,-0.2833
55.45,30.7,69.5,26,1594,0,-0.1967
54.82,30.7,69.8,25,1597,0,-0.21
54.68,30.6,70.1,25,1600,0,-0.0467
55.18,30.5,70.3,26,1603,0,0.1667
55.41,30.4,70.6,25,1606,0,0.0767
54.91,30.4,70.9,25,1609,0,-0.1667
54.77,30.3,71.2,25,1612,0,-0.0467
55.09,30.3,71.3,26,1615,0,0.1067
56.17,30.2,71.5,27,1618,0,0.36
56.49,30.1,71.7,27,1621,0,0.1067
55.59,30.1,71.8,26,1624,0,-0.3
55.68,30.1,72.0,25,1627,0,0.03
56.08,30.0,72.1,27,1630,0,0.1333
56.08,30.0,72.3,26,1633,0,0.0
57.3,29.9,72.4,25,1636,0,0.4067
57.84,29.9,72.5,25,1639,0,0.18
56.98,29.9,72.7,25,1642,0,-0.2867
58.74,29.8,72.8,25,1645,0,0.5867
57.75,29.8,72.9,26,1648,0,-0.33
57.48,29.7,73.0,25,1651,0,-0.09
57.34,29.7,73.1,25,1654,0,-0.0467
56.76,29.7,73.2,26,1657,0,-0.1933
56.98,29.6,73.3,26,1660,0,0.0733
57.25,29.6,73.4,25,1663,0,0.09
57.88,29.6,73.4,26,1666,0,0.21
58.47,29.6,73.4,25,1669,0,0.1967
57.79,29.6,73.5,26,1672,0,-0.2267
58.87,29.6,73.5,26,1675,0,0.36
57.84,29.5,73.5,27,1678,0,-0.3433
57.07,29.6,73.5,26,1681,0,-0.2567
57.57,29.6,73.6,25,1684,0,0.1667
56.4,29.5,73.6,24,1687,0,-0.39
56.62,29.5,73.7,25,1690,0,0.0733
56.4,29.6,73.8,25,1693,0,-0.0733
56.17,29.6,73.8,26,1696,0,-0.0767
57.07,29.6,73.8,25,1699,0,0.3
56.89,29.6,73.9,27,1702,0,-0.06
57.25,29.6,73.9,26,1705,0,0.12
57.21,29.6,74.0,26,1708,0,-0.0133
57.48,29.6,74.0,26,1711,0,0.09
57.7,29.6,74.1,26,1714,0,0.0733
56.8,29.6,74.1,26,1717,0,-0.3
56.62,29.6,74.2,27,1720,0,-0.06
56.62,29.6,74.2,28,1723,0,0.0
56.85,29.6,74.3,27,1726,0,0.0767
57.34,29.6,74.3,27,1729,0,0.1633
57.07,29.6,74.3,28,1732,0,-0.09
56.76,29.6,74.4,28,1735,0,-0.1033
56.44,29.6,74.4,27,1738,0,-0.1067
56.62,29.6,74.4,27,1741,0,0.06
56.58,29.6,74.4,29,1744,0,-0.0133
57.03,29.6,74.4,27,1747,0,0.15
56.53,29.6,74.4,29,1750,0,-0.1667
56.67,29.6,74.5,29,1753,0,0.0467
57.7,29.7,74.5,29,1756,0,0.3433
57.39,29.7,74.7,37,1759,0,-0.1033
58.06,29.7,74.6,28,1762,0,0.2233
57.57,29.7,74.4,31,1765,0,-0.1633
56.44,29.7,74.1,31,1768,0,-0.3767
55.59,29.3,75.9,4095,1851,0,-0.0102
55.86,29.5,75.3,4095,1854,0,0.09
55.27,29.4,75.3,4095,1857,0,-0.1967
54.01,29.5,75.2,4095,1860,0,-0.42
54.01,29.4,75.2,4095,1863,0,0.0
53.33,29.5,75.2,4095,1866,0,-0.2267
34.5,31.3,66.7,22,2863,0,-0.0189
34.64,31.3,66.7,19,2866,0,0.0467
34.86,31.7,64.1,25,2869,0,0.0733
34.77,31.8,64.2,25,2872,0,-0.03
35.14,31.2,66.3,20,2875,0,0.1233
34.41,31.5,64.5,24,2878,0,-0.2433
34.95,31.5,64.6,20,2881,0,0.18
34.77,31.4,64.1,39,2884,0,-0.06
34.86,31.4,63.9,20,2887,0,0.03
35.36,31.5,63.9,20,2890,0,0.1667
34.28,31.5,64.0,24,2893,0,-0.36
34.28,31.5,64.1,25,2896,0,0.0
34.32,31.6,64.1,24,2899,0,0.0133
33.87,31.7,63.8,21,2902,0,-0.15
34.68,31.6,63.5,23,2905,0,0.27
33.92,31.6,63.3,25,2908,0,-0.2533
34.19,31.6,63.0,24,2911,0,0.09
34.28,31.7,62.7,23,2914,0,0.03
34.1,31.7,62.8,24,2917,0,-0.06
34.19,31.8,62.6,25,2920,0,0.03
34.23,31.8,62.6,24,2923,0,0.0133
34.41,31.8,62.7,25,2926,0,0.06
34.05,31.7,62.8,25,2929,0,-0.12
34.77,31.6,62.9,24,2932,0,0.24
34.91,31.6,63.1,25,2935,0,0.0467
34.14,31.7,63.2,24,2938,0,-0.2567
34.82,31.7,63.3,23,2941,0,0.2267
35.09,31.7,63.4,24,2944,0,0.09
35.23,31.7,63.5,23,2947,0,0.0467
33.87,31.7,63.7,24,2950,0,-0.4533
34.5,31.7,63.8,24,2953,0,0.21
33.74,31.7,63.9,23,2956,0,-0.2533
33.87,31.7,64.2,24,2959,0,0.0433
33.83,31.6,64.6,25,2962,0,-0.0133
33.2,31.6,65.0,24,2965,0,-0.21
33.6,31.6,65.4,25,2968,0,0.1333
33.56,31.6,65.8,24,2971,0,-0.0133
33.33,31.6,66.1,24,2974,0,-0.0767
33.65,31.5,66.5,24,2977,0,0.1067
33.65,31.4,66.9,25,2980,0,0.0
34.05,31.3,67.2,25,2983,0,0.1333
33.83,31.3,67.6,24,2986,0,-0.0733
33.33,31.2,68.0,25,2989,0,-0.1667
34.01,31.2,68.4,23,2992,0,0.2267
34.19,31.1,68.8,24,2995,0,0.06
33.74,31.0,69.2,25,2998,0,-0.15
32.48,30.9,69.5,25,3001,0,-0.42
32.39,30.8,69.8,24,3004,0,-0.03
32.34,30.7,70.1,24,3007,0,-0.0167
32.39,30.7,70.4,25,3010,0,0.0167
32.48,30.6,70.7,25,3013,0,0.03
32.12,30.6,71.0,24,3016,0,-0.12
31.8,30.5,71.3,24,3019,0,-0.1067
32.48,30.5,71.5,25,3022,0,0.2267
32.43,30.4,71.7,25,3025,0,-0.0167
31.85,30.3,71.9,24,3028,0,-0.1933
31.49,30.3,72.2,26,3031,0,-0.12
31.4,30.3,72.3,25,3034,0,-0.03
32.34,30.3,72.5,25,3037,0,0.3133
32.7,30.3,72.6,25,3040,0,0.12
31.89,30.2,72.8,25,3043,0,-0.27
31.76,30.2,72.9,25,3046,0,-0.0433
31.98,30.2,73.0,25,3049,0,0.0733
31.53,30.1,73.1,24,3052,0,-0.15
31.94,30.1,73.2,24,3055,0,0.1367
31.13,30.1,73.3,25,3058,0,-0.27
32.57,30.0,73.3,24,3061,0,0.48
31.26,30.0,73.3,24,3064,0,-0.4367
31.17,30.0,73.4,24,3067,0,-0.03
31.35,30.0,73.4,24,3070,0,0.06
31.22,30.0,73.4,25,3073,0,-0.0433
30.9,30.0,73.5,25,3076,0,-0.1067
31.76,30.0,73.5,25,3079,0,0.2867
31.94,30.0,73.5,25,3082,0,0.06
31.71,30.0,73.6,25,3085,0,-0.0767
31.44,30.0,73.6,26,3088,0,-0.09
31.26,30.0,73.6,26,3091,0,-0.06
31.31,29.9,73.7,26,3094,0,0.0167
31.08,30.0,73.8,24,3097,0,-0.0767
31.17,30.0,73.8,25,3100,0,0.03
31.22,30.0,73.9,26,3103,0,0.0167
30.63,30.0,74.0,26,3106,0,-0.1967
30.41,29.9,74.0,24,3109,0,-0.0733
31.13,29.9,74.0,25,3112,0,0.24
30.9,29.9,74.1,24,3115,0,-0.0767
30.99,29.9,74.1,25,3118,0,0.03
31.08,29.9,74.2,25,3121,0,0.03
30.45,29.9,74.2,26,3124,0,-0.21
30.45,29.9,74.2,27,3127,0,0.0
30.5,29.9,74.3,26,3130,0,0.0167
30.54,29.9,74.3,25,3133,0,0.0133
30.68,29.9,74.4,25,3136,0,0.0467
29.87,29.9,74.4,26,3139,0,-0.27
30.59,29.8,74.5,25,3142,0,0.24
30.45,29.8,74.5,24,3145,0,-0.0467
30.63,29.9,74.6,25,3148,0,0.06
30.32,29.9,74.6,26,3151,0,-0.1033
30.27,29.8,74.7,25,3154,0,-0.0167
30.0,29.8,74.7,25,3157,0,-0.09
29.5,29.8,74.8,26,3160,0,-0.1667
30.32,29.8,74.8,25,3163,0,0.2733
30.14,29.8,74.9,26,3166,0,-0.06
29.87,29.8,75.0,26,3169,0,-0.09
29.91,29.8,75.0,26,3172,0,0.0133
29.19,29.8,75.1,25,3175,0,-0.24
29.42,29.8,75.2,25,3178,0,0.0767
29.5,29.8,75.2,25,3181,0,0.0267
29.37,29.8,75.3,24,3184,0,-0.0433
28.87,29.8,75.3,25,3187,0,-0.1667
27.89,29.9,74.8,76,3190,0,-0.3267
27.6,29.8,75.0,67,3193,0,-0.0967
26.89,29.8,75.0,71,3196,0,-0.2367
27.5,29.9,74.9,64,3199,0,0.2033
26.56,29.8,74.8,64,3202,0,-0.3133
28.23,29.8,74.8,75,3205,0,0.5567
27.67,29.8,74.9,65,3208,0,-0.1867
26.7,29.8,74.9,4095,3211,0,-0.3233
26.45,29.8,75.0,4095,3214,0,-0.0833
27.9,29.8,75.1,4095,3217,0,0.4833
20.33,29.7,63.05,22,4294,0,-0.007
19.95,30.07,63.16,24,4297,0,-0.1267
19.81,30.03,63.0,20,4300,0,-0.0467
19.33,30.18,63.16,26,4303,0,-0.16
20.04,29.52,63.11,21,4306,0,0.2367
19.3,30.95,63.36,22,4309,0,-0.2467
19.51,31.2,63.41,23,4312,0,0.07
19.07,29.75,63.83,25,4315,0,-0.1467
19.24,30.15,64.04,20,4318,0,0.0567
19.03,29.61,64.08,22,4321,0,-0.07
19.64,30.4,64.13,25,4324,0,0.2033
19.3,31.7,64.5,23,4327,0,-0.1133
20.48,30.64,64.52,20,4330,0,0.3933
19.98,31.6,64.26,21,4333,0,-0.1667
19.64,31.41,64.59,25,4336,0,-0.1133
19.55,30.59,64.38,20,4339,0,-0.03
19.34,31.6,64.27,17,4342,0,-0.07
18.8,31.64,64.81,26,4345,0,-0.18
19.43,30.84,64.49,20,4348,0,0.21
18.54,30.01,64.79,16,4351,0,-0.2967
19.47,30.36,65.11,22,4354,0,0.31
19.25,30.51,64.89,20,4357,0,-0.0733
20.06,30.31,65.45,23,4360,0,0.27
19.14,29.73,65.23,19,4363,0,-0.3067
18.83,29.87,65.26,20,4366,0,-0.1033
18.66,30.5,65.43,18,4369,0,-0.0567
18.65,29.86,65.45,22,4372,0,-0.0033
18.83,30.52,65.46,23,4375,0,0.06
18.47,29.67,65.69,25,4378,0,-0.12
18.16,30.34,66.04,22,4381,0,-0.1033
18.76,29.51,66.16,26,4384,0,0.2
18.91,30.24,65.81,22,4387,0,0.05
17.57,29.64,66.36,26,4390,0,-0.4467
19.07,29.54,66.06,25,4393,0,0.5
18.85,30.6,66.38,26,4396,0,-0.0733
18.4,30.38,66.32,24,4399,0,-0.15
18.39,29.8,66.59,25,4402,0,-0.0033
19.12,30.05,66.37,21,4405,0,0.2433
18.67,29.87,66.84,23,4408,0,-0.15
19.28,30.72,66.54,22,4411,0,0.2033
18.69,31.02,67.12,21,4414,0,-0.1967
18.4,29.96,67.04,26,4417,0,-0.0967
17.97,29.56,66.94,22,4420,0,-0.1433
17.62,30.63,67.05,21,4423,0,-0.1167
17.68,29.92,67.39,18,4426,0,0.02
18.49,29.64,67.38,20,4429,0,0.27
17.7,30.8,67.48,23,4432,0,-0.2633
17.65,30.37,67.66,21,4435,0,-0.0167
17.54,29.88,67.75,19,4438,0,-0.0367
18.06,30.36,67.74,26,4441,0,0.1733
18.22,29.88,67.67,21,4444,0,0.0533
17.48,29.94,67.96,24,4447,0,-0.2467
18.13,30.72,68.28,23,4450,0,0.2167
16.76,30.81,67.69,22,4453,0,-0.4567
17.85,30.53,68.46,26,4456,0,0.3633
17.8,30.06,68.52,21,4459,0,-0.0167
18.22,30.52,68.23,20,4462,0,0.14
17.97,30.07,68.49,21,4465,0,-0.0833
18.26,30.93,68.62,26,4468,0,0.0967
